case,frame,n_crops,n_pairs,n_distinct_pairs,frame_score,best_pair,best_containment,best_iou
Cosmos3_seed101_0036,141,3,3,3,0.37592813372612,1-2,0.0,0.0
Cosmos3_seed101_0036,144,3,3,2,0.37998008728027344,1-2,0.0,0.0
Cosmos3_seed101_0036,147,3,3,2,0.40003350377082825,1-2,0.0,0.0
Cosmos3_seed101_0036,150,3,3,2,0.4505046606063843,1-2,0.0,0.0
Cosmos3_seed101_0036,153,3,3,2,0.33746251463890076,1-2,0.0,0.0
Cosmos3_seed101_0036,156,3,3,3,0.41944998502731323,1-2,0.0,0.0
Cosmos3_seed101_0036,159,3,3,3,0.27715128660202026,1-2,0.0,0.0
Cosmos3_seed101_0036,162,3,3,3,0.4306635558605194,1-2,0.0,0.0
Cosmos3_seed101_0036,165,3,3,3,0.3412923216819763,1-2,0.0,0.0
Cosmos3_seed101_0036,168,3,3,3,0.5072337985038757,1-2,0.0,0.0
Cosmos3_seed101_0036,171,3,3,3,0.6421210169792175,1-2,0.0,0.0
Cosmos3_seed101_0036,174,3,3,2,0.7149778604507446,1-2,0.0,0.0
Cosmos3_seed101_0036,177,3,3,3,0.7709306478500366,1-2,0.0,0.0
Cosmos3_seed101_0036,180,3,3,3,0.7632034420967102,1-2,0.0,0.0
Cosmos3_seed101_0036,183,3,3,1,0.828493595123291,1-2,0.0,0.0
Cosmos3_seed101_0036,186,3,3,1,0.8266304135322571,1-2,0.0,0.0
Cosmos3_seed101_0036,188,3,3,3,0.8156726956367493,1-2,0.0,0.0
LVP_0030,0,2,1,0,0.0,,,
LVP_0030,3,2,1,0,0.0,,,
LVP_0030,6,2,1,0,0.0,,,
LVP_0030,9,2,1,0,0.0,,,
LVP_0030,12,2,1,0,0.0,,,
LVP_0030,15,2,1,0,0.0,,,
LVP_0030,18,3,3,2,0.18569421768188477,1-2,0.0,0.0
LVP_0030,21,3,3,2,0.21401207149028778,1-2,0.0,0.0
LVP_0030,24,3,3,2,0.3101508617401123,1-2,0.0,0.0
LVP_0030,27,2,1,0,0.0,,,
LVP_0030,30,2,1,0,0.0,,,
LVP_0030,33,2,1,0,0.0,,,
LVP_0030,36,2,1,0,0.0,,,
LVP_0030,39,3,3,1,0.4282833933830261,1-2,0.003165419399701379,0.001211846316603343
LVP_0030,42,3,3,1,0.3012571632862091,1-2,0.017207408299258962,0.006517320836108925
LVP_0030,45,3,3,1,0.7843929529190063,1-2,0.0,0.0
LVP_0030,48,3,3,1,0.7866881489753723,1-2,0.0,0.0
