case,frame,evidence
Cosmos3_seed101_0020,30,0.0
Cosmos3_seed101_0020,33,0.0
Cosmos3_seed101_0020,36,0.0
Cosmos3_seed101_0020,39,0.0
Cosmos3_seed101_0020,42,0.0
Cosmos3_seed101_0020,45,0.0
Cosmos3_seed101_0020,48,0.0
Cosmos3_seed101_0020,51,0.0
Cosmos3_seed101_0020,54,0.0
Cosmos3_seed101_0020,57,0.0
Cosmos3_seed101_0020,60,0.0
Cosmos3_seed101_0020,63,0.0
Cosmos3_seed101_0020,66,0.0
Cosmos3_seed101_0020,69,0.0
Cosmos3_seed101_0020,72,0.0
Cosmos3_seed101_0020,75,0.0
Cosmos3_seed101_0020,78,0.0
Cosmos3_seed101_0020,81,0.0
Cosmos3_seed101_0020,84,0.0
Cosmos3_seed101_0020,87,0.0
Cosmos3_seed101_0020,90,0.0
Cosmos3_seed101_0020,93,0.0
Cosmos3_seed101_0020,96,0.0
Cosmos3_seed101_0020,99,0.0
Cosmos3_seed101_0020,102,0.0
Cosmos3_seed101_0020,105,0.0
Cosmos3_seed101_0020,108,0.0
Cosmos3_seed101_0020,111,0.0
Cosmos3_seed101_0020,114,0.0
Cosmos3_seed101_0020,117,0.0
Cosmos3_seed101_0020,120,0.09848382646873564
Cosmos3_seed101_0020,123,0.0
Cosmos3_seed101_0020,126,0.21223781049039395
Cosmos3_seed101_0020,129,0.23531770018058615
Cosmos3_seed101_0020,132,0.36482905398849597
Cosmos3_seed101_0020,135,0.3632572981247848
Cosmos3_seed101_0020,138,0.4124385921641501
Cosmos3_seed101_0020,141,0.5523072717863773
Cosmos3_seed101_0020,144,0.5444430877052375
Cosmos3_seed101_0020,147,0.4699975409750458
Cosmos3_seed101_0020,150,0.33888473807600866
Cosmos3_seed101_0020,153,0.3356370892824851
Cosmos3_seed101_0020,156,0.3646823171752609
Cosmos3_seed101_0020,159,0.3972640814103626
Cosmos3_seed101_0020,162,0.384226054682641
Cosmos3_seed101_0020,165,0.4748447555515186
Cosmos3_seed101_0020,168,0.4975433665930569
Cosmos3_seed101_0020,171,0.478708125363884
Cosmos3_seed101_0020,174,0.5694300279739486
Cosmos3_seed101_0020,177,0.6155322446575117
Cosmos3_seed101_0020,180,0.5995513688480552
Cosmos3_seed101_0020,183,0.5673175187934107
Cosmos3_seed101_0020,186,0.6429967508173098
Cosmos3_seed101_0020,188,0.6296789351817654
Cosmos3_seed101_0027,0,0.027139003821003076
Cosmos3_seed101_0027,3,0.09054374931780503
Cosmos3_seed101_0027,6,0.07411212327785081
Cosmos3_seed101_0027,9,0.05138680169741279
Cosmos3_seed101_0027,12,0.04288145947288615
Cosmos3_seed101_0027,15,0.060836092150432716
Cosmos3_seed101_0027,18,0.04063822492892001
Cosmos3_seed101_0027,21,0.029853679390922084
Cosmos3_seed101_0027,24,0.05069751457216885
